iter	MAE
0	10750.28902
1	10547.17238
2	10341.34464
3	10156.96645
4	9980.629408
5	9798.800618
6	9627.662329
7	9467.017474
8	9294.633928
9	9132.327591
10	8982.542426
11	8844.203456
12	8714.930388
13	8595.9709
14	8473.165834
15	8357.55321
16	8248.612139
17	8142.982074
18	8035.163471
19	7934.441057
20	7846.57145
21	7763.713372
22	7686.155061
23	7613.284769
24	7549.951113
25	7478.282496
26	7399.847719
27	7324.754513
28	7253.854058
29	7180.645258
30	7115.313073
31	7046.575286
32	6980.101478
33	6911.10162
34	6853.405261
35	6796.961436
36	6738.233758
37	6688.749846
38	6640.28714
39	6591.199887
40	6540.687946
41	6494.112953
42	6450.072537
43	6435.088776
44	6412.600982
45	6391.377058
46	6372.394141
47	6354.098559
48	6336.858462
49	6320.52506
50	6305.01495
51	6290.360665
52	6276.76507
53	6263.693459
54	6251.290665
55	6239.50879
56	6228.327719
57	6217.710322
58	6207.649215
59	6198.895879
60	6192.883702
61	6182.0524
62	6171.943237
63	6162.664782
64	6152.452966
65	6142.7798
66	6131.235634
67	6120.545338
68	6110.363232
69	6103.112711
70	6096.272144
71	6091.200199
72	6085.034689
73	6079.264193
74	6074.365741
75	6069.025616
76	6063.965044
77	6059.095633
78	6054.569549
79	6050.273673
80	6046.195738
81	6042.323187
82	6039.132396
83	6034.992454
84	6031.11346
85	6027.41471
86	6023.913229
87	6020.583669
88	6017.42824
89	6014.433492
90	6011.71078
91	6010.140652
92	5986.174746
93	5983.134031
94	5979.476177
95	5976.079908
96	5973.826642
97	5970.65013
98	5968.73159
99	5965.849486
100	5963.052578
101	5960.610856
102	5958.332505
103	5955.893422
104	5953.535904
105	5951.322879
106	5949.481374
107	5949.012313
108	5946.720934
109	5943.371344
110	5940.662383
111	5940.085082
112	5939.568527
113	5937.190277
114	5934.639398
115	5932.331357
116	5930.106913
117	5928.072827
118	5927.898386
119	5926.05313
120	5925.845082
121	5924.106008
122	5922.59726
123	5921.131411
124	5917.137353
125	5916.977295
126	5916.825846
127	5915.856677
128	5915.06222
129	5905.099961
130	5904.983551
131	5888.883043
132	5874.537821
133	5860.632458
134	5857.748912
135	5856.487329
136	5853.875727
137	5853.789218
138	5851.352449
139	5851.280892
140	5848.666434
141	5846.74305
142	5846.671814
143	5845.044839
144	5844.81076
145	5844.592142
146	5842.797736
147	5842.545672
148	5842.488405
149	5841.282394
150	5840.231735
151	5839.178416
152	5839.00405
153	5838.954506
154	5838.910078
155	5838.868307
156	5836.554445
157	5832.499969
158	5831.930016
159	5831.891946
160	5831.7931
161	5831.698424
162	5831.663504
163	5831.576167
164	5831.493759
165	5831.435542
166	5831.367692
167	5831.310033
168	5831.249965
169	5828.896714
170	5826.759847
171	5824.380432
172	5824.35228
173	5824.274513
174	5824.205133
175	5824.147917
176	5824.093682
177	5824.040292
178	5824.014816
179	5823.956038
180	5823.921315
181	5823.889733
182	5823.86303
183	5823.834899
184	5823.808501
185	5823.783462
186	5823.762524
187	5823.73947
188	5823.71784
189	5823.684399
190	5823.657779
191	5823.630094
192	5823.603702
193	5823.582767
194	5823.552349
195	5823.532597
196	5823.513838
197	5823.496017
198	5823.468044
199	5823.451209
200	5823.431164
201	5823.414993
202	5823.398566
203	5823.385217
204	5823.369451
205	5823.354466
206	5823.332497
207	5823.314962
208	5823.300858
209	5823.287459
210	5823.274734
211	5823.259249
212	5821.313477
213	5821.299026
214	5821.285298
215	5819.458231
216	5817.784415
217	5817.769983
218	5817.762877
219	5817.756266
220	5817.751688
221	5817.740064
222	5817.72902
223	5817.718529
224	5817.714694
225	5817.704772
226	5817.692059
227	5817.680015
228	5817.668585
229	5817.657727
230	5817.654668
231	5817.64744
232	5817.644519
233	5817.634687
234	5817.632014
235	5817.622919
236	5817.620512
237	5817.61398
238	5817.597759
239	5817.585875
240	5817.579941
241	5817.571743
242	5817.555893
243	5817.550213
244	5817.544823
245	5817.539705
246	5817.524734
247	5817.511175
248	5817.497241
249	5817.484069
250	5817.436236
251	5817.41708
252	5810.746713
253	5807.367727
254	5798.645512
255	5795.449347
256	5788.997019
257	5782.23983
258	5780.797432
259	5780.726672
260	5780.628242
261	5775.493967
262	5772.466057
263	5772.38431
264	5763.566939
265	5755.21912
266	5753.716217
267	5746.671794
268	5742.503866
269	5738.393047
270	5737.905305
271	5737.454116
272	5737.031425
273	5736.642697
274	5736.538353
275	5735.086345
276	5731.109613
277	5727.728703
278	5711.305899
279	5708.172457
280	5703.727453
281	5683.912033
282	5683.903117
283	5681.041726
284	5681.032254
285	5679.781651
286	5678.751538
287	5676.467275
288	5674.70408
289	5673.062698
290	5672.600714
291	5672.545424
292	5672.494486
293	5672.174728
294	5672.05208
295	5671.550136
296	5652.688453
297	5652.674516
298	5651.007564
299	5649.453466
300	5632.355686
301	5616.427364
302	5614.970627
303	5597.137537
304	5596.829132
305	5596.624009
306	5596.524956
307	5596.372967
308	5596.23943
309	5575.341973
310	5574.910025
311	5560.792494
312	5559.913824
313	5559.807179
314	5559.47247
315	5559.366929
316	5559.296418
317	5559.232086
318	5559.171005
319	5558.887232
320	5558.826095
321	5558.765058
322	5557.934865
323	5557.909782
324	5557.809623
325	5557.714778
326	5557.625129
327	5557.559555
328	5557.498203
329	5557.417359
330	5557.368924
331	5557.326483
332	5556.480519
333	5556.434066
334	5556.403845
335	5556.357976
336	5556.333265
337	5556.31039
338	5556.289661
339	5555.917724
340	5555.893024
341	5555.878171
342	5555.872885
343	5555.855251
344	5555.813932
345	5555.776155
346	5554.805782
347	5554.736485
348	5548.141266
349	5537.939617
350	5537.924426
351	5535.85394
352	5535.758465
353	5534.524333
354	5519.036287
355	5517.900528
356	5510.457459
357	5509.13393
358	5509.126125
359	5509.082046
360	5509.018027
361	5508.979224
362	5508.436517
363	5508.354697
364	5507.589358
365	5507.504906
366	5507.073999
367	5507.061447
368	5506.981555
369	5506.272428
370	5506.19755
371	5505.967076
372	5505.31321
373	5505.300358
374	5504.238557
375	5504.211599
376	5504.206168
377	5503.323202
378	5503.2982
379	5503.274478
380	5503.251994
381	5503.230816
382	5502.75612
383	5502.735147
384	5502.715616
385	5502.695406
386	5502.647366
387	5502.612746
388	5502.55197
389	5502.534946
390	5502.503681
391	5502.287583
392	5502.231268
393	5502.228974
394	5502.216292
395	5501.521448
396	5500.950324
397	5500.518596
398	5500.5166
399	5500.497487
400	5500.425326
401	5500.424578
402	5500.400596
403	5499.745193
404	5498.721439
405	5498.661894
406	5498.651802
407	5498.625238
408	5498.600415
409	5498.576647
410	5498.567308
411	5498.557878
412	5498.549486
413	5498.527045
414	5498.480344
415	5498.470275
416	5497.591133
417	5497.470703
418	5497.463116
419	5497.352901
420	5496.54819
421	5495.595066
422	5495.523013
423	5495.261636
424	5495.24861
425	5495.236292
426	5495.225111
427	5495.209419
428	5495.065919
429	5495.019814
430	5495.016291
431	5494.975849
432	5494.937702
433	5494.928233
434	5494.919265
435	5494.55736
436	5494.521765
437	5494.487997
438	5494.283332
439	5494.257302
440	5494.235696
441	5494.229704
442	5488.093735
443	5488.079828
444	5488.06677
445	5488.06146
446	5488.049235
447	5488.035719
448	5488.030944
449	5487.810322
450	5487.79163
451	5487.774652
452	5487.624165
453	5487.620684
454	5487.61739
455	5487.235023
456	5486.873001
457	5486.866128
458	5486.863191
459	5486.010206
460	5486.002864
461	5485.904886
462	5485.897969
463	5485.891421
464	5485.880287
465	5485.874588
466	5485.791243
467	5485.786175
468	5485.775766
469	5485.761592
470	5485.757944
471	5485.7545
472	5485.751269
473	5485.748202
474	5469.234789
475	5469.231419
476	5469.195973
477	5469.165318
478	5468.919089
479	5458.125858
480	5446.001541
481	5437.160968
482	5437.092599
483	5436.395071
484	5436.380666
485	5436.373786
486	5436.008014
487	5436.00385
488	5436.000616
489	5435.967316
490	5435.902804
491	5435.901212
492	5435.85469
493	5435.707204
494	5435.575086
495	5435.572889
496	5435.557166
497	5435.503763
498	5435.488988
499	5434.9614
500	5434.939265
501	5434.929551
502	5417.498361
503	5417.180745
504	5406.872314
505	5400.247824
506	5399.895102
507	5399.606661
508	5398.224452
509	5398.223889
510	5387.380009
511	5387.000032
512	5386.584232
513	5386.235034
514	5386.233648
515	5386.232331
516	5381.017661
517	5380.952313
518	5380.627249
519	5364.929232
520	5353.519755
521	5348.61245
522	5348.610495
523	5348.345514
524	5344.397003
525	5344.396271
526	5338.118405
527	5330.216587
528	5330.149252
529	5314.759239
530	5302.839725
531	5302.834302
532	5302.70913
533	5302.692851
534	5301.985712
535	5301.851002
536	5301.710661
537	5299.124162
538	5299.099751
539	5296.246261
540	5296.245413
541	5296.222252
542	5295.63152
543	5292.591059
544	5292.143626
545	5291.682017
546	5291.660514
547	5291.659766
548	5291.659064
549	5291.657924
550	5283.051461
551	5271.155156
552	5271.154103
553	5265.354815
554	5265.35387
555	5265.338839
556	5265.000173
557	5258.267962
558	5257.968044
559	5257.967092
560	5257.958504
561	5257.954626
562	5257.910642
563	5257.868858
564	5257.523879
565	5257.52054
566	5257.260658
567	5254.936835
568	5252.396537
569	5252.39583
570	5252.360525
571	5252.123091
572	5250.557862
573	5248.448379
574	5248.445821
575	5247.367378
576	5247.366948
577	5247.366543
578	5247.357446
579	5247.357075
580	5247.356724
581	5247.35611
582	5247.329006
583	5247.324181
584	5247.248906
585	5247.244464
586	5247.240291
587	5247.186718
588	5246.997709
589	5246.993811
590	5246.993086
591	5246.959634
592	5246.95168
593	5246.928857
594	5246.91999
595	5246.88097
596	5246.879225
597	5246.877945
598	5246.867771
599	5244.550868
600	5244.531496
601	5244.019778
602	5243.926572
603	5243.886148
604	5243.885017
