iter	Passed	Remaining
0	92	92141
1	165	82688
2	232	77313
3	335	83468
4	419	83563
5	523	86670
6	619	87912
7	719	89223
8	795	87572
9	894	88600
10	997	89679
11	1097	90342
12	1199	91106
13	1288	90763
14	1387	91142
15	1474	90697
16	1573	91011
17	1676	91458
18	1779	91879
19	1870	91639
20	1954	91130
21	2025	90048
22	2126	90332
23	2197	89372
24	2284	89113
25	2386	89408
26	2474	89157
27	2574	89378
28	2671	89465
29	2756	89126
30	2857	89306
31	2954	89365
32	3054	89518
33	3124	88768
34	3225	88922
35	3292	88152
36	3392	88291
37	3490	88353
38	3580	88231
39	3669	88061
40	3759	87944
41	3861	88086
42	3920	87264
43	4021	87370
44	4126	87566
45	4231	87758
46	4317	87543
47	4419	87651
48	4521	87759
49	4611	87616
50	4703	87527
51	4808	87669
52	4915	87827
53	5018	87917
54	5121	87990
55	5226	88100
56	5315	87935
57	5377	87341
58	5469	87229
59	5531	86654
60	5632	86708
61	5736	86789
62	5797	86231
63	5898	86269
64	6002	86347
65	6099	86311
66	6200	86345
67	6289	86197
68	6380	86093
69	6484	86151
70	6545	85646
71	6606	85153
72	6667	84667
73	6771	84734
74	6867	84700
75	6961	84637
76	7063	84666
77	7169	84741
78	7268	84743
79	7371	84768
80	7458	84616
81	7547	84500
82	7607	84053
83	7710	84084
84	7792	83883
85	7876	83707
86	7962	83559
87	8022	83145
88	8082	82735
89	8143	82343
90	8242	82337
91	8345	82361
92	8429	82210
93	8527	82191
94	8615	82078
95	8675	81698
96	8762	81574
97	8863	81579
98	8952	81479
99	9010	81096
100	9115	81140
101	9202	81021
102	9278	80803
103	9336	80436
104	9425	80339
105	9484	79990
106	9543	79651
107	9651	79714
108	9751	79715
109	9847	79678
110	9934	79561
111	9992	79229
112	10052	78905
113	10141	78820
114	10245	78845
115	10331	78729
116	10423	78666
117	10493	78438
118	10594	78434
119	10672	78265
120	10774	78267
121	10835	77981
122	10940	78005
123	11001	77720
124	11111	77780
125	11171	77489
126	11230	77201
127	11296	76960
128	11400	76977
129	11505	76998
130	11600	76950
131	11704	76966
132	11809	76981
133	11913	76995
134	12001	76897
135	12096	76849
136	12187	76774
137	12247	76502
138	12308	76240
139	12367	75971
140	12468	75963
141	12573	75969
142	12632	75708
143	12693	75456
144	12795	75450
145	12900	75460
146	13004	75460
147	13093	75373
148	13152	75119
149	13256	75117
150	13316	74871
151	13406	74796
152	13498	74724
153	13557	74479
154	13617	74236
155	13676	73994
156	13767	73924
157	13852	73820
158	13933	73700
159	14021	73613
160	14119	73578
161	14214	73531
162	14313	73501
163	14388	73344
164	14447	73113
165	14507	72886
166	14577	72714
167	14663	72619
168	14722	72393
169	14789	72206
170	14856	72021
171	14920	71825
172	14978	71601
173	15048	71435
174	15107	71221
175	15167	71009
176	15226	70798
177	15285	70590
178	15344	70378
179	15412	70211
180	15509	70176
181	15569	69976
182	15634	69799
183	15694	69601
184	15766	69456
185	15828	69269
186	15896	69112
187	15954	68911
188	16029	68783
189	16094	68611
190	16162	68457
191	16222	68270
192	16282	68082
193	16340	67890
194	16400	67704
195	16458	67515
196	16517	67326
197	16575	67137
198	16636	66962
199	16694	66777
200	16762	66631
201	16821	66453
202	16881	66278
203	16940	66102
204	16999	65923
205	17057	65746
206	17117	65576
207	17180	65419
208	17239	65245
209	17297	65072
210	17356	64900
211	17415	64734
212	17491	64626
213	17571	64538
214	17631	64375
215	17721	64322
216	17794	64206
217	17860	64069
218	17930	63943
219	17995	63803
220	18055	63645
221	18114	63482
222	18172	63319
223	18231	63159
224	18291	63004
225	18350	62846
226	18410	62692
227	18470	62538
228	18530	62389
229	18590	62238
230	18650	62087
231	18710	61937
232	18770	61787
233	18830	61640
234	18890	61493
235	18949	61345
236	19009	61200
237	19077	61079
238	19167	61029
239	19233	60905
240	19298	60779
241	19360	60642
242	19419	60497
243	19479	60353
244	19540	60218
245	19600	60075
246	19659	59933
247	19719	59794
248	19790	59689
249	19850	59551
250	19909	59410
251	19976	59295
252	20075	59275
253	20168	59236
254	20256	59180
255	20353	59153
256	20455	59138
257	20538	59067
258	20632	59029
259	20712	58951
260	20799	58891
261	20892	58850
262	20988	58815
263	21082	58775
264	21175	58730
265	21259	58663
266	21348	58608
267	21432	58538
268	21526	58496
269	21612	58432
270	21702	58381
271	21794	58333
272	21851	58189
273	21907	58046
274	21967	57914
275	22066	57885
276	22156	57829
277	22240	57762
278	22323	57687
279	22406	57617
280	22505	57584
281	22587	57509
282	22666	57427
283	22760	57382
284	22856	57340
285	22942	57277
286	23040	57239
287	23140	57208
288	23225	57140
289	23297	57038
290	23378	56960
291	23461	56886
292	23547	56820
293	23632	56750
294	23708	56658
295	23785	56570
296	23882	56529
297	23985	56502
298	24055	56398
299	24118	56275
300	24210	56222
301	24288	56136
302	24350	56014
303	24436	55947
304	24518	55870
305	24604	55801
306	24698	55753
307	24793	55704
308	24869	55613
309	24962	55561
310	25034	55461
311	25121	55395
312	25210	55334
313	25271	55210
314	25341	55108
315	25402	54984
316	25499	54939
317	25592	54888
318	25689	54841
319	25747	54714
320	25808	54591
321	25886	54506
322	25956	54403
323	26034	54319
324	26119	54247
325	26176	54119
326	26234	53992
327	26296	53875
328	26350	53742
329	26407	53615
330	26464	53489
331	26558	53436
332	26644	53368
333	26740	53320
334	26824	53248
335	26919	53198
336	26995	53109
337	27079	53036
338	27137	52915
339	27224	52847
340	27300	52760
341	27359	52638
342	27441	52562
343	27518	52476
344	27609	52417
345	27690	52339
346	27766	52252
347	27858	52195
348	27939	52117
349	28018	52035
350	28086	51932
351	28173	51864
352	28229	51740
353	28321	51682
354	28401	51602
355	28462	51487
356	28541	51407
357	28625	51334
358	28711	51265
359	28802	51203
360	28884	51127
361	28942	51009
362	29029	50942
363	29106	50857
364	29187	50778
365	29265	50694
366	29361	50643
367	29419	50524
368	29498	50443
369	29592	50386
370	29652	50274
371	29745	50216
372	29840	50160
373	29904	50054
374	29995	49992
375	30083	49926
376	30161	49842
377	30251	49779
378	30351	49731
379	30409	49615
380	30467	49499
381	30525	49383
382	30619	49326
383	30712	49268
384	30782	49171
385	30880	49120
386	30952	49027
387	31033	48949
388	31102	48852
389	31199	48799
390	31257	48685
391	31338	48606
392	31397	48493
393	31489	48432
394	31583	48374
395	31645	48267
396	31739	48209
397	31815	48123
398	31913	48069
399	31976	47965
400	32066	47899
401	32148	47822
402	32213	47720
403	32303	47655
404	32386	47580
405	32451	47477
406	32535	47404
407	32615	47323
408	32675	47215
409	32734	47106
410	32820	47034
411	32912	46971
412	32977	46870
413	33037	46763
414	33107	46669
415	33172	46568
416	33246	46481
417	33323	46398
418	33408	46325
419	33468	46217
420	33528	46112
421	33609	46033
422	33701	45971
423	33781	45891
424	33858	45808
425	33914	45697
426	33972	45589
427	34053	45511
428	34144	45446
429	34204	45340
430	34281	45257
431	34362	45180
432	34449	45110
433	34540	45045
434	34596	44935
435	34660	44835
436	34716	44726
437	34772	44617
438	34833	44513
439	34894	44411
440	34955	44309
441	35041	44237
442	35122	44160
443	35187	44063
444	35242	43954
445	35298	43846
446	35354	43738
447	35435	43661
448	35500	43565
449	35574	43480
450	35657	43405
451	35717	43302
452	35776	43200
453	35859	43126
454	35951	43062
455	36023	42975
456	36081	42871
457	36158	42790
458	36219	42690
459	36301	42615
460	36381	42536
461	36464	42463
462	36522	42360
463	36579	42256
464	36641	42156
465	36707	42064
466	36793	41993
467	36874	41917
468	36934	41816
469	36995	41718
470	37080	41646
471	37136	41542
472	37193	41439
473	37249	41336
474	37332	41262
475	37396	41168
476	37483	41098
477	37545	41001
478	37631	40931
479	37699	40841
480	37783	40768
481	37877	40706
482	37959	40631
483	38048	40563
484	38132	40490
485	38215	40416
486	38303	40348
487	38383	40271
488	38464	40194
489	38521	40093
490	38606	40022
491	38685	39944
492	38771	39872
493	38862	39806
494	38919	39705
495	39000	39629
496	39102	39574
497	39183	39497
498	39285	39443
499	39371	39371
500	39455	39297
501	39539	39224
502	39634	39161
503	39730	39099
504	39816	39028
505	39908	38962
506	39972	38869
507	40066	38804
508	40155	38735
509	40250	38672
510	40346	38609
511	40413	38518
512	40499	38447
513	40585	38374
514	40678	38309
515	40773	38244
516	40861	38174
517	40957	38111
518	41053	38047
519	41149	37983
520	41242	37917
521	41322	37839
522	41390	37749
523	41469	37670
524	41558	37600
525	41619	37505
526	41703	37430
527	41792	37359
528	41859	37269
529	41956	37206
530	42013	37108
531	42096	37032
532	42175	36953
533	42263	36881
534	42347	36806
535	42431	36732
536	42508	36650
537	42590	36574
538	42677	36501
539	42763	36428
540	42848	36353
541	42938	36284
542	43008	36196
543	43102	36130
544	43184	36052
545	43264	35974
546	43345	35896
547	43422	35815
548	43478	35717
549	43534	35618
550	43615	35541
551	43688	35457
552	43744	35359
553	43829	35284
554	43884	35187
555	43969	35111
556	44066	35047
557	44156	34977
558	44211	34878
559	44292	34800
560	44368	34719
561	44454	34645
562	44546	34577
563	44642	34510
564	44735	34442
565	44821	34368
566	44906	34293
567	44995	34221
568	45084	34149
569	45173	34078
570	45226	33979
571	45322	33912
572	45403	33834
573	45487	33759
574	45565	33679
575	45637	33594
576	45730	33525
577	45785	33428
578	45867	33351
